text,intent,profession,source
tuyau ta7t la cuisine yfuiti w bell el ma,find_worker,plumber,hand
le chauffage central wella bared ma yeskhonch,find_worker,plumber,hand
el ma taye7 men plafond ta3 hammam,find_worker,plumber,hand
flexible ta3 douche m9atta3 w yrech f kol jiha,find_worker,plumber,hand
wc yjri el ma wa7do ma y7besch,find_worker,plumber,hand
la pompe ta3 el ma ma tjbedch walou,find_worker,plumber,hand
citerne ta3 stah tfuiti w el ma yenzel 3la l7it,find_worker,plumber,hand
ri7a khayba tal3a men siphon ta3 cuisine,find_worker,plumber,hand
n7taj wa7ed yrakebli machine a laver m3a el ma,find_worker,plumber,hand
melangeur ta3 lavabo ywelli ghir skhoun,find_worker,plumber,hand
compteur ta3 el ma ydour meme ki nsakrou kolch,find_worker,plumber,hand
evier y3oum el ma fih w ynzel b chwiya,find_worker,plumber,hand
dar jdida n7tajou installation sanitaire kamla,find_worker,plumber,hand
el ma dai3ef ghir fel cuisine,find_worker,plumber,hand
joint ta3 robinet khasser w y9atter nhar kamel,find_worker,plumber,hand
الما يرشش من الطويو تحت المجلى,find_worker,plumber,hand
الشوفاج سونترال ولا بارد ما يسخنش,find_worker,plumber,hand
الما يطيح من البلافون تاع الحمام,find_worker,plumber,hand
الفليكسيبل تاع الدوش مقطع يرش على كل جيهة,find_worker,plumber,hand
التواليت تجري الما وحدها طول الليل,find_worker,plumber,hand
البومبا تاع الما ما تجبدش والو,find_worker,plumber,hand
السيترن تاع السطح تفويتي والما ينزل على الحيط,find_worker,plumber,hand
ريحة خايبة طالعة من البالوعة تاع الكوزينة,find_worker,plumber,hand
الميلونجور تاع اللافابو يولي غير سخون,find_worker,plumber,hand
الكونطور تاع الما يدور حتى كي كلش مسكر,find_worker,plumber,hand
المجلى يعوم الما فيه وينزل بشوية,find_worker,plumber,hand
دار جديدة نحتاجو تركيب السانيتير كامل,find_worker,plumber,hand
الما ضعيف غير في الكوزينة,find_worker,plumber,hand
الجوان تاع الروبيني خسر ويقطر طول النهار,find_worker,plumber,hand
واحد يركبلي الغسالة مع قنوات الما,find_worker,plumber,hand
courant yti7 ghir f la moitié ta3 dar,find_worker,electrician,hand
prise ta3 four dert etincelle w sewdet l7it,find_worker,electrician,hand
nzidou ligne wa7edha special l la clim,find_worker,electrician,hand
les fils baynin men l7it lazem gaine,find_worker,electrician,hand
minuterie ta3 escalier ma tekhdemch,find_worker,electrician,hand
tableau electrique yeskhon w ri7et plastique ma7rou9,find_worker,electrician,hand
n7taj mise a la terre l dar kamla,find_worker,electrician,hand
va et vient ta3 chambre khasser,find_worker,electrician,hand
installation electrique kamla l appart jdid,find_worker,electrician,hand
courant faible les lampes yche3lou b nos dou,find_worker,electrician,hand
compteur ydour bezzaf w la facture tal3et bla sabba,find_worker,electrician,hand
prise ta3 machine teskhon ki nche3louha,find_worker,electrician,hand
lampe ta3 cuisine tremch w tzid tech3el,find_worker,electrician,hand
nrakbou projecteur fel 7ouch,find_worker,electrician,hand
court circuit f dar w mazal ma l9inach mnin,find_worker,electrician,hand
الكوران يطيح غير في نص الدار,find_worker,electrician,hand
البريزة تاع الفور دارت شرارة وسودات الحيط,find_worker,electrician,hand
نحتاجو خط وحدو للكليمة من الطابلو,find_worker,electrician,hand
الفيلات باينين من الحيط ولازم غاين,find_worker,electrician,hand
