text,intent,profession,source
كيفاش نبدل المهنة تاعي في البروفيل,app_question,none,synth_v5_base
dar fiha el siaj ta3 l7did tkesr wme7taj soudir mn simana kamla,find_worker,welder,synth_v5_base
صحا، التلاجة تدير صوت غريب فيسع فيسع,urgent_service,appliance_repair,synth_v5_base
شحال نخلص باش نصلح نحب نديار كارلاج جديد في الكوزينة؟,price_inquiry,mason,synth_v5_base
ارجو المساعدة بسرعة، سقف الغاراج طايح منو الاسمنت وباين الحديد ياخو,urgent_service,mason,synth_v5_base
coudre des rideaux occultants l chambre fissa3 svp rabi y7afdkom,urgent_service,tailor,synth_v5_base
كيفاش نخدم بهاد التطبيأ؟,app_question,none,synth_v5_base
ecran ta3 telephone therres win nsal7ou,out_of_scope,none,synth_v5_base
حلاقة في الدار لشيخ كبير ما يقدرش يخرج من فضلكم,find_worker,barber,synth_v5_base
سلام خويا، بشحال الخدمة تاع منوزيي تقريبا؟,price_inquiry,carpenter,synth_v5_base
dorka dork robe soirée sur mesure,urgent_service,tailor,synth_v5_base
"slm, n7eb ncheri machina saboun jdida chhal lsoum?",out_of_scope,none,synth_v5_base
وين نلقى بيتزيريا مليحة في Bordj Bou Arreridj؟ والله غير حاصل,out_of_scope,none,synth_v5_base
kifah nchouf les avis ta3 worker?,app_question,none,synth_v5_base
dorka dork les lampes yrigliw wa7edhom,urgent_service,electrician,synth_v5_base
embrayage yzle9 n7taj mécanicien tawa dork,urgent_service,mechanic,synth_v5_base
clim ydir bruit bizarre chkoun 3ando solution,find_worker,ac_repair,synth_v5_base
راني نحوس على مول الكليمة في بجاية,find_worker,ac_repair,synth_v5_base
ya cheikh wach el khlas ykoun kach wla balkarta?,app_question,none,synth_v5_base
drari y7afffo gbel l3id men fadlkom,find_worker,barber,synth_v5_base
kifach ngim l3aml b3ed el khdema?,app_question,none,synth_v5_base
wech rak?,greeting_chitchat,none,synth_v5_base
يا خويا سلام عليكم,greeting_chitchat,none,synth_v5_base
